#header info#
40.6	#latitude; used for cacluating drought index in model bugmann#
30	#meter a.s.l. of climate station#

#temperature lapse rate with increasing altitude: #
-0.48	-0.51	-0.46	-0.49	-0.46	-0.37	-0.31	-0.35	-0.42	-0.38	-0.47	-0.50

#precipitation lapse rate with increasing altitude: #
5.06	3.03	2.39	4.34	1.86	0.49	0.77	1.0	0.42	-0.61	1.07	6.30

100	#meter: corrections (see above) every x meter. #

#	mean monthly temperature (∞C) total monthly precipitation (mm) #
#year	jan.T	feb.T	mar.T	apr.T	may.T	jun.T	jul.T	aug.T	sep.T	oct.T	nov.T	dec.T	jan.P	feb.P	mar.P	apr.P	may.P	jun.P	jul.P	aug.P	sep.P	oct.P	nov.P	dec.P#
43	9.7	11	12.9	14.4	17.1	24.2	25.1	25.1	23.8	18.4	16.3	11.7	83.8	93.9	47.5	25.9	6	6.3	7.5	5	79.8	230.6	129.6	104.9
44	12	12.1	11	16.2	16.9	21.3	23.8	25	24.1	18.6	13	10.9	92.7	26.7	188.1	32.1	8.9	17.5	1.4	3.2	7.1	74.9	48.8	28.2
45	10.6	10.9	10.6	14.5	18.1	23.6	25.6	27.1	24.2	18.5	15.9	14	20.2	20.8	88.1	15.8	62.8	11.9	4.8	0.9	11.4	106.2	51.8	94.3
46	11.1	13	11.3	13.1	17.3	22.2	23.7	27	21.7	19.2	14.5	10.6	277.7	72.1	10.9	49.5	48.7	5.8	1.7	0	58.5	110.1	30.3	49.9
47	9.4	11.9	13.1	13.4	17.8	20.6	26.8	25.7	24	21	13.7	13	101.7	21.1	78.6	61.8	11.7	17.6	0.1	2.6	107.3	14.4	83.9	43.2
48	11	12.3	12	14.1	18	22.5	24.3	27	20.6	20.5	15.5	10.5	207.9	23.8	35.7	23.7	23	15.1	8.2	1.3	0	80	31.9	32.4
49	11.8	10.1	13.3	14.5	20.4	23.8	25.1	26.2	22.5	20.2	14.5	10.9	42.5	30.5	8.4	83.3	17.5	0.7	12	6.2	47.9	152.1	91	95
50	9.6	11.1	10.5	14.6	18.9	22.5	27.3	27.4	22	19.3	14.8	12.4	68.3	15	129.5	66.4	2.7	14.6	0.7	1.3	29.8	44.5	35.7	123
51	11.7	10.8	11.1	14.8	17.6	22	25.4	25.9	22.3	18	14.9	13.3	18.3	89.9	15.5	8.4	49.3	13.9	5.6	0.8	15.3	65	18.8	65.4
52	11.7	11.5	12.8	13	17.6	22.9	25.3	26.4	21.9	20.8	14.2	9.5	66.8	33.8	41.4	20.7	12.1	9.9	13.8	0	8.3	75.6	87.4	57.7
53	12.8	9.6	12.1	14.2	16.2	22.9	26.3	26.4	22.6	20.2	14.8	11.7	34.8	24.5	189.8	25.6	38.3	1.5	3.4	50.7	2.2	52.4	141.1	74
54	10.8	13.8	12.7	14.6	19.3	25.5	26.7	24.7	23.3	21.2	16.6	11.6	36.4	43.6	53.7	29.6	13.5	0.8	0.9	5	82.4	287	38.8	30.7
55	13.2	10.4	11.1	15.1	17.5	21.4	27.1	25.5	22.5	19.6	15.1	13.1	38.2	39.4	111.6	23	100.5	10.4	0.5	52	35.6	73.6	246.8	72.5
56	10.6	12	12.9	15	17.1	23.6	26.9	25.4	22.6	18.8	15.1	10.5	74	56.2	51.3	52.9	30.9	8.3	0.1	26	114.7	20	83.7	31.5
57	12.2	10.1	13	14.2	21.1	23.1	21.6	26.1	22.9	20.7	13.4	11.9	47.5	8	9	42	0	4.9	3.1	5	100.2	37.9	7.7	48.9
58	10.7	11	12.1	13.8	19.5	22.7	26.8	25.1	21.2	17.9	15.4	10.9	68.8	194.8	62.1	54.3	14.7	5.4	0	0	36.8	110.1	90.5	84.1
59	11.1	11.3	13.8	13.9	20.7	22.2	25.3	28	23.2	19.6	14.6	12	144.2	90.5	56.4	23.3	44.7	2.4	0	0	32.2	132.7	168.1	91.6
60	9.5	12.8	11.2	14.3	18.2	22.4	25	26.4	23.8	20.2	14	13.6	207.3	148.1	113.2	62	51.3	24	0.1	2.8	7.9	14.5	55	138.4
61	11.4	10.7	12.4	14.4	19	23.2	26.7	26.6	23.5	18.1	14.7	11.8	72.8	16	88.6	31.7	16.2	11.1	0	0.2	14.6	94.2	258.9	59.7
62	10.9	11.6	12.6	13.6	18.2	22.4	24.7	25.1	23.1	19.6	15.1	12.8	22.1	40.4	44.8	32	10.8	99.5	10.5	9.9	124.8	86.7	65.6	140.9
63	9.5	12.7	13.1	13.9	18.3	24.7	24.4	28.2	22.3	22	14.9	12.1	28.8	39.2	25.1	29.5	6.2	8.6	4.2	0.1	14.4	25.1	117.6	28.4
